iss,total_kilgo_etal_2004,deaths_kilgo_etal_2004,total_copes_etal_1988,deaths_copes_etal_1988
1,50632,359,1854,5
2,10605,34,207,0
3,1390,8,16,0
4,67603,374,2625,9
5,28354,112,1239,6
6,4316,19,115,0
8,7483,61,501,4
9,73039,1712,2829,72
10,19625,388,938,19
11,2608,32,52,0
12,2437,21,112,0
13,10149,253,523,15
14,9273,182,332,8
16,9455,1212,637,93
17,10811,511,471,49
18,4113,303,170,15
19,2868,150,95,6
20,2562,223,185,26
21,2499,158,114,14
22,5152,281,173,15
24,1890,140,91,9
25,9041,3962,553,211
26,3701,1022,152,36
27,2011,290,68,13
29,4612,806,212,48
30,1016,323,24,5
32,267,77,31,9
33,879,257,34,11
34,3216,965,178,59
35,860,333,27,11
36,556,107,25,11
38,1666,626,45,16
41,1149,451,69,31
42,239,119,11,8
43,1120,463,26,10
45,621,297,24,14
48,106,49,5,5
50,1109,605,39,22
51,72,50,3,2
54,190,116,5,4
57,216,130,4,4
59,278,193,6,4
66,128,99,2,2
75,1459,1184,54,50
